,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
SSE_0,1.07,1.19,1.25,1.28,1.09,1.28,0.88,1.09,0.95,0.92,1.0,0.95,0.96,0.94,0.91,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.29,1.72,1.33,1.65,1.45,1.66,1.48,1.59,1.62,1.77,,1.73,1.31
NNW_0,1.2,1.25,1.15,0.94,1.39,1.04,1.19,0.94,1.05,1.04,1.11,1.0,1.34,1.0,0.97,0.77,0.84,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.6,1.66,1.75,1.59,1.57,1.65,1.49,1.71,1.49,1.77,,1.75,1.25
S_0,1.11,1.1,1.23,1.18,1.02,0.89,1.02,1.24,1.03,0.98,1.03,0.71,1.0,1.04,1.02,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.31,1.71,1.26,1.66,1.51,1.74,1.43,1.6,1.59,1.78,,1.73,1.45
WSW_0,1.12,1.07,1.25,1.17,1.03,1.05,1.15,1.37,1.24,1.1,1.18,0.94,0.94,1.0,1.04,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.25,1.76,1.29,1.71,1.56,1.77,1.48,1.63,1.59,1.82,,1.78,1.36
WNW_0,1.4,1.26,1.21,1.05,1.14,1.06,1.02,1.19,1.11,1.27,1.12,1.0,0.98,0.97,1.0,1.03,,,,,0.81,0.84,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,1.77,1.71,1.7,1.66,1.64,1.64,1.6,1.7,1.51,1.82,,1.79,1.29
W_0,1.02,1.08,1.02,1.06,1.19,1.12,1.09,0.97,1.14,1.27,1.09,1.15,1.29,1.1,0.99,1.0,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.38,1.79,1.42,1.72,1.57,1.73,1.53,1.64,1.59,1.85,,1.79,1.43
NNE_1,1.51,1.23,1.35,1.48,,1.02,,1.14,1.3,,,1.16,,,1.22,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.55,1.98,1.47,1.76,1.87,1.79,1.67,1.92,1.71,2.03,,1.96,1.26
ENE_1,1.41,1.52,1.23,1.74,,1.13,,1.03,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1.76,1.97,1.84,1.55,1.89,1.92,1.44,1.86,1.9,2.07,,2.02,1.4
E_1,1.35,1.42,1.65,1.41,1.41,,,1.12,,,0.89,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.54,1.98,1.4,1.81,1.8,1.9,1.67,1.91,1.63,2.07,,2.02,1.62
NE_1,1.18,1.32,1.23,1.26,1.18,1.02,,1.02,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.73,1.96,1.65,1.92,1.76,1.94,1.62,1.91,1.68,2.07,,2.02,1.56
NW_2,,,,,,,,,1.46,,,1.85,,,1.19,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.21,,1.63,2.19,2.04,1.97,1.99,1.99,2.32,,2.53,1.63
NW_1,,,,,,,,,1.19,,,1.32,,,1.34,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,2.12,,2.16,1.93,2.05,2.14,2.28,1.9,2.24,,2.2,1.71
NE_3,1.73,1.89,,,,,,1.26,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.63,2.16,1.83,1.94,2.05,2.17,1.94,2.15,,2.33,,2.29,1.63
ESE_1,1.46,1.49,1.31,1.48,1.57,,,,,,1.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,1.61,2.09,1.75,2.14,1.98,2.16,1.8,2.17,,2.35,,2.29,
SW_1,,,,,1.41,,1.43,,,1.68,1.28,,1.42,1.31,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,1.92,2.36,1.45,2.16,2.09,2.32,1.83,2.11,1.92,2.37,,2.33,1.88
SW_2,,,,,,,1.56,,,2.29,,,1.25,1.63,,1.4,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,1.58,2.25,1.52,2.27,1.73,2.3,1.95,2.15,2.26,2.38,,2.27,1.78
NNE_2,1.63,1.61,,,,1.48,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,2.28,,2.03,2.32,2.35,1.94,2.34,1.94,2.39,,2.28,1.57
NE_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,2.21,,2.08,2.22,2.33,,2.46,1.78,2.4,,2.19,1.59
NNW_1,,,,,,1.15,,,1.35,,,1.13,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,2.24,,2.15,1.94,2.16,,,1.99,2.4,,2.46,1.79
WSW_1,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,2.36,,2.63,1.86,2.38,2.04,1.95,2.08,2.45,,2.36,
SE_1,,,1.27,1.6,1.58,,,,,,1.1,,1.37,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,2.33,2.09,2.16,2.15,2.18,1.89,2.3,2.22,2.45,,2.38,
WNW_1,,,,,,,,,1.58,,,1.18,,,1.31,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,2.28,,2.1,2.08,2.16,,2.31,1.9,2.45,,2.67,1.68
S_1,,,,,1.46,,1.77,,,1.4,1.19,,1.32,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,2.36,,2.29,1.9,2.35,2.1,2.32,,2.45,,2.38,1.71
WSW_2,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,2.46,,2.23,,2.39,2.05,2.02,2.49,2.46,,2.28,2.02
ENE_2,1.81,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.64,2.37,1.85,1.97,2.16,2.34,,2.26,1.97,2.46,,2.39,
N_1,2.06,1.42,,,,1.47,,1.22,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.22,2.2,2.18,2.23,2.05,2.23,2.13,2.33,1.79,2.46,,2.42,
ENE_3,,1.31,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,1.56,2.26,1.62,2.14,2.09,2.23,,2.52,2.05,2.5,,2.46,
ESE_2,,,1.77,1.31,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.27,2.24,2.3,2.42,2.24,2.37,2.12,2.47,1.93,2.54,,2.44,1.95
NW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,2.45,,,2.49,2.21,,,2.08,2.57,,1.95,1.79
nan_0,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,2.45,,2.76,2.14,2.09,2.38,2.45,,2.61,,2.5,
NE_2,1.79,2.21,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,2.47,,1.99,2.28,2.3,2.16,2.33,2.38,2.59,,2.53,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,2.5,,,2.31,2.44,,,2.23,2.62,,2.28,1.89
E_2,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,2.65,,2.46,2.33,2.47,,2.45,1.95,2.65,,2.58,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,2.34,,,2.23,2.47,,,2.16,2.65,,,1.96
SSE_1,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,2.6,,2.5,,2.65,2.23,2.36,,2.67,,2.6,
SSW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,2.49,,2.45,,2.65,2.23,2.28,,2.67,,2.65,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,2.81,,2.43,2.38,2.58,,2.49,2.3,2.7,,2.58,
SW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,2.65,,2.99,,2.86,,2.48,,2.79,,2.71,
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,2.68,,,2.41,2.62,,,2.39,2.81,,2.5,2.03
WNW_3,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.68,,2.68,,2.61,,2.62,,,2.33,2.81,,,2.03
S_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.62,,2.68,,2.52,,2.72,2.34,2.59,,2.81,,2.74,
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,2.81,,2.74,
ENE_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.71,,2.7,,,,2.64,,,2.41,2.83,,2.76,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.71,,2.63,,,2.49,2.64,,2.76,,2.83,,2.76,
ENE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.39,,2.42,,2.52,2.66,,2.89,,2.86,,3.41,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.79,,2.78,,,,2.45,,2.69,,2.92,,,2.02
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.82,,2.81,,,,2.75,,,2.62,2.95,,2.87,
ENE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.75,,2.84,,,,2.78,,2.75,,2.99,,2.58,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.92,,2.75,,,,,2.6,3.06,,,2.21
SSW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,3.06,,2.98,
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,2.92,,,,2.85,,,2.6,3.06,,,
WNW_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,2.96,,2.79,,,2.59,,2.64,3.11,,,2.24
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.69,0.69,0.68,0.65,0.61,0.62,0.61,0.61,0.62,0.6,0.58,0.6,0.58,0.57,0.59,0.56,0.51,0.51,0.49,0.51,0.47,0.5,0.42,0.46,0.43,0.42,0.46,0.45,0.46,0.43,0.44,0.45,0.43,0.41,0.4,0.46,0.39,0.44,0.43,0.41,0.41,0.4,0.39,0.42,0.38,0.4,0.36,0.39,0.37,0.38,0.41,0.35,0.39,0.42,0.32,0.34,0.36,0.4,0.34,0.31,0.34,0.34,0.33,,0.33,0.34,0.33,,,,,,,1.0,0.81,1.0,0.79,0.94,0.92,0.98,0.87,0.96,0.89,1.05,0.37,1.02,0.77
PM2.5_1,0.87,0.85,0.88,0.84,0.82,0.71,0.77,0.74,0.63,0.76,0.8,0.64,0.78,0.77,0.59,0.73,0.65,0.59,0.68,0.61,,,0.61,0.54,0.57,,,,,,,,0.49,,0.64,0.46,0.55,0.46,,0.49,,,0.5,,0.55,0.45,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,1.24,1.0,1.17,1.03,1.18,1.14,1.19,1.09,1.19,1.07,1.29,,1.26,0.69
PM10_0,0.69,0.69,0.68,0.66,0.61,0.63,0.61,0.62,0.62,0.6,0.58,0.61,0.57,0.57,0.59,0.56,0.51,0.51,0.48,0.51,0.48,0.49,0.44,0.46,0.42,0.42,0.45,0.46,0.46,0.43,0.43,0.45,0.44,0.41,0.42,0.47,0.39,0.45,0.43,0.42,0.4,0.4,0.39,0.42,0.39,0.37,0.36,0.38,0.37,0.37,0.4,0.36,0.39,0.41,,0.34,0.36,0.39,0.36,0.28,0.34,0.34,0.35,0.33,0.33,0.34,0.33,,,,,,,1.0,0.87,1.0,0.82,0.94,0.92,0.98,0.88,0.97,0.89,1.05,0.38,1.02,0.78
PM10_1,0.87,0.84,0.86,0.82,0.8,0.7,0.78,0.72,0.64,0.76,0.78,0.61,0.78,0.75,0.6,0.72,0.67,0.59,0.69,0.59,,,0.53,0.53,0.72,0.69,,,,,0.51,,0.47,,0.57,0.44,0.55,0.43,,0.45,,,0.5,,0.48,0.58,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,1.25,0.96,1.22,1.0,1.18,1.12,1.18,1.06,1.17,1.06,1.28,,1.25,0.69
TEMP_1,0.77,0.75,0.76,0.71,0.66,0.67,0.62,0.69,0.64,0.62,0.6,0.63,0.6,0.59,0.61,0.59,0.56,0.61,0.55,0.51,0.56,0.49,0.5,0.46,0.46,0.43,0.51,0.47,0.45,0.4,0.45,0.44,0.43,0.4,0.48,0.44,0.43,0.42,0.52,0.4,0.47,0.42,0.41,,0.39,0.4,0.41,0.38,,0.36,0.4,0.39,,,,0.36,0.31,,0.39,0.33,,0.36,0.35,,,,0.36,,,,,,,1.07,0.85,1.06,0.86,1.0,0.96,1.04,0.93,1.03,0.93,1.11,0.36,1.08,0.81
TEMP_0,0.73,0.73,0.71,0.71,0.68,0.65,0.7,0.62,0.66,0.68,0.69,0.64,0.68,0.65,0.62,0.62,0.52,0.5,0.54,0.57,0.44,0.51,0.46,0.5,0.48,0.59,0.43,0.44,0.49,0.62,0.47,0.47,0.54,,0.45,0.47,0.46,0.46,0.41,0.47,0.42,0.43,0.44,0.45,,0.5,0.42,,0.45,,0.4,0.42,0.47,0.42,0.37,0.41,0.45,0.42,,,0.43,,,,,,,0.34,,,,,,1.09,0.89,1.08,0.9,1.02,1.0,1.05,0.95,1.05,0.97,1.14,,1.11,0.82
PRES_1,0.72,0.72,0.7,0.68,0.64,0.65,0.61,0.63,0.63,0.6,0.6,0.61,0.58,0.57,0.61,0.58,0.53,0.5,0.52,0.51,0.49,0.49,0.46,0.45,0.42,0.44,0.43,0.45,0.48,0.43,0.44,0.47,0.44,0.43,0.42,0.43,0.43,0.42,0.44,0.48,0.42,0.41,0.4,0.41,0.39,0.39,0.39,0.36,0.38,0.37,0.37,0.38,0.39,0.38,0.38,0.41,0.36,0.36,,,0.35,,,,0.34,,,0.32,,,,,,1.02,0.84,1.02,0.84,0.96,0.95,1.0,0.9,0.99,0.91,1.07,,1.04,0.77
PRES_0,0.8,0.77,0.79,0.75,0.7,0.67,0.74,0.69,0.65,0.71,0.69,0.67,0.71,0.7,0.62,0.66,0.58,0.62,0.59,0.61,0.41,0.51,0.51,0.53,0.56,0.51,0.53,,0.37,0.5,0.5,0.38,0.5,0.5,,0.48,,0.47,,0.41,0.44,0.46,,,0.47,0.47,,,,,0.44,0.43,,,,,,,,0.4,,0.42,0.37,,,,,,,,,,,1.15,0.91,1.15,0.93,1.08,1.02,1.09,1.0,1.11,1.02,1.2,0.39,1.17,0.87
DEWP_1,0.73,0.72,0.72,0.68,0.65,0.63,0.66,0.63,0.6,0.64,0.63,0.59,0.62,0.61,0.57,0.6,0.52,0.54,0.52,0.52,0.47,0.47,0.48,0.47,0.46,0.47,0.43,0.41,0.35,0.46,0.44,0.37,0.43,0.49,0.43,0.42,0.41,0.41,,0.42,0.43,0.38,0.38,,0.41,0.42,0.4,0.43,,,0.39,0.39,,0.38,0.33,0.37,,0.36,,0.4,,,0.34,0.34,,,,,,,,,,1.04,0.83,1.03,0.85,0.98,0.95,1.01,0.91,1.0,0.9,1.08,0.35,1.06,0.75
DEWP_0,0.79,0.77,0.76,0.75,0.68,0.7,0.65,0.7,0.7,0.65,0.63,0.68,0.63,0.63,0.66,0.62,0.6,0.53,0.58,0.58,0.51,0.53,0.46,0.46,0.49,0.45,0.54,0.59,0.53,0.46,0.48,0.53,0.56,0.39,0.49,0.51,0.5,0.51,0.49,0.48,0.43,0.48,0.48,0.45,,0.41,0.44,0.38,0.42,0.45,,0.42,0.44,,,0.4,0.36,,0.42,,0.38,0.38,,,0.37,,,,,,,,,1.13,0.92,1.12,0.92,1.05,1.03,1.1,0.98,1.09,1.0,1.18,,1.14,0.87
